Company Name,Title,First Name,Last Name,Organisation Name,Location,Speciality,City,Country of Principal Practice,Institution Name,Address Line1,Address Line2,Post Code,County,TOV Category,TOV Type,Amount,Joint Working Link,% of all HCP HCO in Aggregate,No of HCP HCO in Aggregate
A. Menarini Farmaceutica Internazionale S.r.l.,_,A. Menarini Farmaceutica Inter,A. Menarini Farmaceutica Inter,,,Miscellaneous,A. Menarini Farmaceutica Internazionale S.r.l.,United Kingdom,,A. Menarini Farmaceutica Internazionale S.r.l.,,XX,Undefined,Contribution to costs of Events,Registration Fees,0,,2.79,
A. Menarini Farmaceutica Internazionale S.r.l.,_,A. Menarini Farmaceutica Inter,A. Menarini Farmaceutica Inter,,,Miscellaneous,A. Menarini Farmaceutica Internazionale S.r.l.,United Kingdom,,A. Menarini Farmaceutica Internazionale S.r.l.,,XX,Undefined,Contribution to costs of Events,Registration Fees,0,,,7
A. Menarini Farmaceutica Internazionale S.r.l.,_,A. Menarini Farmaceutica Inter,A. Menarini Farmaceutica Inter,,,Miscellaneous,A. Menarini Farmaceutica Internazionale S.r.l.,United Kingdom,,A. Menarini Farmaceutica Internazionale S.r.l.,,XX,Undefined,Contribution to costs of Events,Registration Fees,3406.45,,,
A. Menarini Farmaceutica Internazionale S.r.l.,_,A. Menarini Farmaceutica Inter,A. Menarini Farmaceutica Inter,,,Miscellaneous,A. Menarini Farmaceutica Internazionale S.r.l.,United Kingdom,,A. Menarini Farmaceutica Internazionale S.r.l.,,XX,Undefined,Contribution to costs of Events,Travel & Accommodation,0,,17.53,
A. Menarini Farmaceutica Internazionale S.r.l.,_,A. Menarini Farmaceutica Inter,A. Menarini Farmaceutica Inter,,,Miscellaneous,A. Menarini Farmaceutica Internazionale S.r.l.,United Kingdom,,A. Menarini Farmaceutica Internazionale S.r.l.,,XX,Undefined,Contribution to costs of Events,Travel & Accommodation,0,,,44
A. Menarini Farmaceutica Internazionale S.r.l.,_,A. Menarini Farmaceutica Inter,A. Menarini Farmaceutica Inter,,,Miscellaneous,A. Menarini Farmaceutica Internazionale S.r.l.,United Kingdom,,A. Menarini Farmaceutica Internazionale S.r.l.,,XX,Undefined,Contribution to costs of Events,Travel & Accommodation,44056.24,,,
A. Menarini Farmaceutica Internazionale S.r.l.,_,A. Menarini Farmaceutica Inter,A. Menarini Farmaceutica Inter,,,Miscellaneous,A. Menarini Farmaceutica Internazionale S.r.l.,United Kingdom,,A. Menarini Farmaceutica Internazionale S.r.l.,,XX,Undefined,Fee for service and consultancy,Fees,0,,35.86,
A. Menarini Farmaceutica Internazionale S.r.l.,_,A. Menarini Farmaceutica Inter,A. Menarini Farmaceutica Inter,,,Miscellaneous,A. Menarini Farmaceutica Internazionale S.r.l.,United Kingdom,,A. Menarini Farmaceutica Internazionale S.r.l.,,XX,Undefined,Fee for service and consultancy,Fees,0,,,90
A. Menarini Farmaceutica Internazionale S.r.l.,_,A. Menarini Farmaceutica Inter,A. Menarini Farmaceutica Inter,,,Miscellaneous,A. Menarini Farmaceutica Internazionale S.r.l.,United Kingdom,,A. Menarini Farmaceutica Internazionale S.r.l.,,XX,Undefined,Fee for service and consultancy,Fees,63031.81,,,
A. Menarini Farmaceutica Internazionale S.r.l.,_,A. Menarini Farmaceutica Inter,A. Menarini Farmaceutica Inter,,,Miscellaneous,A. Menarini Farmaceutica Internazionale S.r.l.,United Kingdom,,A. Menarini Farmaceutica Internazionale S.r.l.,,XX,Undefined,Fee for service and consultancy,Related expenses agreed in the fee for services or consultancy contract,0,,6.37,
